epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice,tra_entropy,val_entropy,tra_KL,val_KL
86,0.0031,0.0497,0.9206,0.6059,0.9206,0.6059,0.0031,0.0497,0.0000,0.0000
87,0.0031,0.0505,0.9182,0.6033,0.9182,0.6033,0.0031,0.0505,0.0000,0.0000
88,0.0032,0.0553,0.9084,0.5488,0.9084,0.5488,0.0032,0.0553,0.0000,0.0000
89,0.0030,0.0528,0.9173,0.5854,0.9173,0.5854,0.0030,0.0528,0.0000,0.0000
90,0.0030,0.0551,0.9298,0.5832,0.9298,0.5832,0.0030,0.0551,0.0000,0.0000
91,0.0030,0.0585,0.9273,0.5680,0.9273,0.5680,0.0030,0.0585,0.0000,0.0000
92,0.0029,0.0494,0.9278,0.5887,0.9278,0.5887,0.0029,0.0494,0.0000,0.0000
93,0.0031,0.0579,0.9158,0.5868,0.9158,0.5868,0.0031,0.0579,0.0000,0.0000
94,0.0030,0.0538,0.9237,0.5701,0.9237,0.5701,0.0030,0.0538,0.0000,0.0000
95,0.0029,0.0504,0.9300,0.5819,0.9300,0.5819,0.0029,0.0504,0.0000,0.0000
96,0.0031,0.0491,0.9178,0.5457,0.9178,0.5457,0.0031,0.0491,0.0000,0.0000
97,0.0029,0.0633,0.9307,0.5482,0.9307,0.5482,0.0029,0.0633,0.0000,0.0000
98,0.0028,0.0563,0.9273,0.5860,0.9273,0.5860,0.0028,0.0563,0.0000,0.0000
99,0.0028,0.0578,0.9303,0.5850,0.9303,0.5850,0.0028,0.0578,0.0000,0.0000
